Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2012,21334.84,20494.78,19844.38,19432.68,19249.05,19212.3,20050.05,20675.46,21741.24,22284.07,22268.77,22460.83,21869.46,22019.12,21744.92,22252.02,23133.78,25605.64,26525.77,26579.26,26076.84,24785.03,23698.88,21718
1/2/2012,20514.2,19628.12,19244.34,18971.5,18909.62,19137.67,20241.09,20917.76,21737.85,22792.46,22842.27,22829.83,22688.49,22693.19,22074.25,22502.67,23326.34,26315.57,26968.84,26901.31,26167.2,24866.68,23820.52,21964.87
1/3/2012,20244.45,19444.24,19241.48,19150.97,19582.88,21171.52,23171.39,24940.58,25595.75,26172.63,26109.04,26261.38,25912.19,26129.87,25620.79,25472.62,25731.33,28282.8,28855.06,28660.69,27960.43,26264.54,24310.63,22244.48
1/4/2012,20875.4,20075.78,19700.47,19680.3,20139.7,21341.75,24144.49,25255.39,25768.83,26834.25,26862.29,26576.34,26194.73,26440.84,25994.05,26003.14,26313.08,29113.77,29582.56,29227.36,28348.39,26610.81,24791.44,22476.99
1/5/2012,21419.09,20588.74,20174.65,20064.69,20268.85,21606.58,23919.53,25109.03,25901.57,26914.86,26721.68,26456.44,26201.71,26432.85,26056.98,26173.08,26399.98,28959.34,29360.85,29005.97,28251.35,26784.34,24810.23,22667.34
1/6/2012,21548.71,20584.91,20167.63,20066.39,20576.49,21678.75,23724.32,24873.74,25738.4,26365.77,26170.65,25728.42,25345.51,25420.42,24964.28,25064.59,25505.59,28133.15,28518.37,27931.63,27169.6,25816.54,24335.42,22677.17
1/7/2012,21642.99,20713.86,20151.62,19849.78,19808.02,20235.01,20859.44,21622.65,22727.17,23593.98,23457.2,22939.41,22776.25,22170.13,21720.2,22055.55,22464.69,25671.24,26514.21,26248.99,25825.2,24939.72,23691.9,22228.67
1/8/2012,20887.18,20085.15,19665.04,19394.77,19224.77,19244.38,19819.3,20445.28,21114.41,21950.15,21585.9,21664.3,21387.47,21408.49,21114.01,21383.83,21954.54,25492.92,26221.13,26452.58,25988.02,24732.91,23283.1,21743.26
1/9/2012,20497.63,19887.36,19706.53,19794.17,20218.41,21583.21,23737.21,25263.37,26144.04,26522.18,26519.73,26348.64,26060.55,26226.16,25833.7,25822.87,25918.56,28952.29,29485.11,29028.14,28254.65,26538.57,24448.07,22517.34
1/10/2012,21521.48,20798.68,20464.75,20450,20849.94,22228.29,24888.02,26403.24,26743.27,27300.08,26787.78,26723.51,26309.51,26130.4,25721.15,25633.52,26177.74,28744.35,29621.86,29188.51,28526.89,27097.51,24963.79,22992.02
1/11/2012,21575.7,20797.41,20459.1,20365.99,20781.7,22100.26,24606.68,25908.45,26584.79,27238.57,26775.09,26455.46,26109.33,25897.65,25428.22,25626.72,26149.88,28721.41,29514.35,29116.45,28395.35,27039.72,25242.81,23215.54
1/12/2012,21865.48,20966.32,20634.22,20579.54,20971.68,22083.42,24461.5,25544.32,25768.12,26463,26198.51,25978.09,25922.92,26420.67,26025.58,26109.21,26103.21,28368.1,29516.69,29094.74,28280.56,26634.31,24823.95,22847.29
1/13/2012,21701.57,20928.42,20555.63,20479.52,20529.79,21757.82,24418.76,25867.84,26126.23,26480.66,26393.93,26275.89,25863.15,25979.88,25527.72,25588.03,25746.71,28117.98,28771.64,28246.82,27511.4,25947.99,24687.61,22710.85
1/14/2012,21533.04,20791.06,20281.99,19944.58,20198.99,20511.51,21302.92,22485.33,23443.67,24043.11,23790.86,23406.07,23340.01,23121.47,22354.27,22579.35,23378.35,26305.29,27138.92,26827.66,26281.42,25182.52,23783.08,22061.44
1/15/2012,20824.92,19914.74,19518.66,19229.52,19166.7,19247.61,20286.51,21292.55,22120.44,23151.31,22998.56,23014.85,22702.56,22670.53,22465.13,22663.33,23471.46,26554.49,27511.64,27531.96,26868.19,25356.53,23681.16,21828.15
1/16/2012,20762.99,19908.84,19703.44,19661.41,20102.71,21650.92,23876.78,25736.47,26500.86,27200.31,27357.7,27206.99,26761.52,26389.15,25733.24,25862.18,26655.21,29287.52,30201.07,29984.89,29345.22,27616.46,25427.18,23278.09
1/17/2012,21980.03,21219.18,20783.72,20692.47,21418.72,22840.53,25308.38,26735.15,27011.57,27216.62,27044.21,26793.58,26211.78,26305.72,25698.15,25921.4,26235.98,29331.4,30319.18,29829.08,29352.58,27243.71,25465.03,23308.84
1/18/2012,21964.36,21248.32,20969.26,20937.64,21378.75,22699.31,25494.38,26877.58,27057.8,27213.3,27048.2,26741.89,26107.74,26164.82,25645.68,25657.18,25857.64,28238.33,29716.25,29383.19,28785.88,26947.65,25158.77,22952.23
1/19/2012,21830.93,21095.06,20794.01,20691.7,20993.86,22355.38,25249.65,26701.67,26962.64,27170.94,27046.65,26835.88,26284.28,26343.31,25799.61,25911,26100.95,28353.02,29546.87,29201.07,28565.54,26652.87,24946.26,22815.54
1/20/2012,21601.07,20783.01,20337.17,20234.86,20752.07,21924,24367.41,25933.9,26416.35,26827.28,26762.31,26549.01,26038.31,26062.83,25483.28,25642.63,25804.08,27980.43,28778.67,28039.55,27407.34,26365.43,24650.97,22614.28
1/21/2012,21448.13,20448.98,19859.02,19514.99,19599.05,20281.68,21361.44,22271.23,23187.83,23891.84,23903.18,23848.25,23501.26,23486.4,23232.32,23236.24,23566.16,26070.6,26848.49,26827.74,26427.86,25364.34,23870.61,22209.53
1/22/2012,20950.36,20018.68,19636.37,19465.71,19479.35,19493.83,20120.66,20834,21957.54,22590.71,22523.96,22434.47,22116.74,22123.06,21972.9,22182.18,23113.19,25583.49,26758.07,26880.98,26612.4,25615.29,23527.56,21707.19
1/23/2012,20418.66,19712.98,19389.56,19365.99,19989.28,21629.2,23832.14,25534.28,26355.77,26991.7,27209.81,27132.8,26610.36,26580.78,26011.08,26079.59,26529.97,28807.17,30026.71,29744.11,28928.56,27214.86,25007.2,22775.24
1/24/2012,20930.98,20259.49,20039.53,19995.5,20233.78,21606.54,24356.09,25767.29,26254.13,26822.27,26492.62,26370.71,26297.39,26008.65,25893.25,25662.95,25836.12,28011.42,29163.78,28907.67,28319.66,26679.57,24570.22,22486.77
1/25/2012,21249.47,20567.47,20225.26,20115.63,20461.55,21811.9,24547.99,26411.62,26780.71,27000.71,27149.74,27389.47,26853.88,26978.76,26748.26,26439.7,26756.98,28671.99,29708.06,29367.89,28594.05,26875.4,24789.48,22546.24
1/26/2012,21249.88,20590.42,20050.51,19951.7,20380.56,21868.08,24288.67,25708.44,26486.51,26640.28,26844.89,27020.38,26580.34,26592.59,26529.66,26472.87,26275.05,28034.35,28862.96,28462.36,27852.51,26426.79,24832.15,22511.88
1/27/2012,21047.3,20259.17,19808.84,19704.06,19996.2,20873.72,23208.57,24289.12,25146.74,25579.16,25791.36,25784.22,25211.24,25361.41,25187.19,25098.24,25177.86,26841.01,27621.43,27239.74,26406.86,25083.84,23784.92,22057.15
1/28/2012,20910.42,20163.35,19696.69,19422.63,19322.25,19532.13,21035.92,21694.92,22507.75,23337.26,23425.2,23480.55,23068.26,23016.99,22607.05,22644.25,22801.95,24796.77,26042.1,25926.15,25349.44,24362.96,23187.12,21511.11
1/29/2012,20518.08,19852.37,19412.54,19158.3,18839.71,18880.43,19999.43,20618.71,21236.72,21839.99,21980.59,22016.25,21736.91,21754.34,21622.68,21811.06,22239.07,24942.89,26105.28,26250.63,25834.48,24606.51,22467.8,20954.08
